url,http_code,final_url,final_ip,size,status
http://111.21.22.148/PLTV/88888888/224/3221225801/index.m3u8,200,http://111.20.33.73:80/wh7f454c46tw1053348784_-1680105607/PLTV/88888888/224/3221225801/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=43,111.20.33.73,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053355214_-1654780421/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8,200,http://39.134.18.179:80/wh7f454c46tw1053351616_-307920431/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8366&online=1790328105&vqe=3,39.134.18.179,402,reachable
http://111.21.22.148/PLTV/88888893/224/3221226203/index.m3u8,200,http://111.20.33.89:80/wh7f454c46tw1053351707_1283391301/PLTV/88888893/224/3221226203/index.m3u8?icpid=88888893&RTS=1790328105&from=1&hms_devid=804,111.20.33.89,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8,200,http://39.134.18.178:80/wh7f454c46tw1053354195_512098764/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8366&online=1790328105&vqe=3,39.134.18.178,402,reachable
http://111.21.22.148/PLTV/88888888/224/3221225802/index.m3u8,200,http://111.20.33.72:80/wh7f454c46tw1053362774_-1382518537/PLTV/88888888/224/3221225802/index.m3u8?icpid=88888888&RTS=1790328105&from=1&hms_devid=123,111.20.33.72,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8,404,http://39.134.18.115:80/wh7f454c46tw1053366685_2010034754/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8050&prioritypopid=14&online=1790328105&vqe=3,39.134.18.115,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8,200,http://39.134.19.148:80/wh7f454c46tw1053365072_2087673918/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8?icpid=88888890&RTS=1790328105&from=14&ocs=2_39.134.18.68_80&hms_devid=6864&online=1790328105&vqe=3,39.134.19.148,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226966/index.m3u8,200,http://39.134.18.176:80/wh7f454c46tw1053366581_578488778/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226966/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8365&online=1790328105&vqe=3,39.134.18.176,67,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053367546_418156009/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226230/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053379142_1832102084/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226805/index.m3u8,200,http://39.134.18.161:80/wh7f454c46tw1053381549_-697986782/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226805/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8150&online=1790328105&vqe=3,39.134.18.161,402,reachable
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226808/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053402762_2043320434/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226808/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226579/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053403088_1689977681/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226579/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226803/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053402533_437483460/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226803/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226581/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053413826_-143138125/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226581/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226957/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053421376_1975692344/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226957/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226951/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053417322_-1270763084/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226951/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226954/index.m3u8,404,http://39.134.18.113:80/wh7f454c46tw1053426098_-275678443/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226954/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8055&prioritypopid=14&online=1790328105&vqe=3,39.134.18.113,0,intranet
http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226580/index.m3u8,404,http://39.134.18.118:80/wh7f454c46tw1053424620_-1529540263/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226580/index.m3u8?icpid=88888890&RTS=1790328105&from=14&hms_devid=8052&prioritypopid=14&online=1790328105&vqe=3,39.134.18.118,0,intranet
